스크립트 넘버,캐릭터 고유값,캐릭터의 대사,캐릭터의 감정,시트설명
index,Character,Line,Face,
long,string,string,string,
0,Comsoon,오늘은 뭘 할까요?,glad,
1,Comsoon,"하~암… 졸려…
밤새 게임… 이 아니라!
공부하느라요. 헤헤…",basic,
2,Comsoon,교수님들은 다들 제가 그 수업 하나만 듣는다고 생각하시는 것 같아요...!,sad,
3,Comsoon,제가 조장이에요! 역시 조원들 모두 제가 가장 리더답다고 생각했나 봐요!,glad,
4,Comsoon,"카페인…
카페인이 필요해요…",sad,
5,Comsoon,"내일은 공강이니까! 신작 애니메이션… 이 아니라!
과제가 있었네요…",sad,
6,Comsoon,"교수님께서 퀘스트를 너무 많이… 아! 과제요, 과제.",sad,
7,Comsoon,"오늘 진짜 바빴어요…
얼마나 바빴냐면...
진짜 진짜 바빴어요…!",sad,
8,Comsoon,"분명히 알람을 맞췄었는데,
오전이 아니라 오후로 설정했더라고요…",sad,
9,Comsoon,"공부 계획은 완벽해요!
이제 지키기만 하면…
되… 는데. 흠흠.",glad,
10,Comsoon,누구나 그럴싸한 계획이 있죠. 과제 폭탄을 맞기 전까지는…!,sad,
11,Comsoon,"그러니까…
오늘 꼭 해야 할 일이…
어? 뭐더라?",basic,
12,Comsoon,"수업 듣기 싫어…
너무 졸려…
헛! 혹시 들으셨어요?",sad,
13,Comsoon,"정말 갖고 싶은 굿즈가
새로 나왔는데…
알바라도 해야 하나…?",basic,
14,Comsoon,"배고프고, 졸리고, 힘들고… 으으…",sad,
15,Comsoon,음흠~ 으흐흠~,glad,
16,Comsoon,"방금 밥 먹었는데,
왜 또 배가 고픈 걸까요?",basic,
17,Comsoon,오늘따라 길에 사람들이 많네요? 어디 이벤트라도 있나?,basic,
18,Comsoon,"과제는 완벽하게 해냈어요!
제출 기한이 어제까지였다는 것만 빼면요…",sad,
19,Comsoon,"쪽지 시험이 있었는데,
그게… 오늘이었나?",basic,
20,Comsoon,"열심히 필기했어요!
엇, 근데…
뭐라고 써 둔 거지?",basic,
21,Comsoon,"1교시 수업만 아니었어도,
훨씬 더 좋았을텐데…",sad,
22,Comsoon,"등교하는 꿈을 꿨어요.
……어? 설마 지금도?",basic,
23,Comsoon,고양이들이 절 피하네요… 간식이라도 준비해야 하나?,basic,
24,Comsoon,"진로 선택보다 더
고민되는 건 바로…
오늘 점심 메뉴…!",basic,
25,Comsoon,"충전기를 놓고 와서 집에 갔다 왔는데, 이번엔 휴대폰을 놓고 왔네요…",sad,
26,Comsoon,"이번 과제는 쉬웠어요!
…네? 아, 그렇다고 잘 했다는 건 아니고… 헤헤.",basic,
27,Comsoon,"오늘 발표 잘 했냐고요?
음… 최선을 다했어요!",basic,
28,Comsoon,조교님! 힘세고 강한 아침!!!,glad,
29,Comsoon,지치고 고된 아침……,sad,
30,Comsoon,수강신청… 그 날 조금만 더 민첩했더라도…!,basic,
31,Comsoon,"얼리버드기상!
줄여서 얼버기!!!",glad,
32,Comsoon,"조교님, 울트라리스트를
줄이면 울라리가 맞죠?
왜 아빠는 울트라라고만
하시는 걸까요…",basic,
33,Comsoon,"푸엣취!
으아… 감기 조심하세요…",sad,
34,Comsoon,"한 판 더 해도
수업 안 늦겠죠?",basic,
35,Comsoon,"오늘도 과제가 산더미야…
하지만 나는 할 수 있어!
…할 수 있겠지?",basic,
36,Comsoon,이거 보셨어요? 새로운 맛집이 생겼대요! 진짜 완전 가보고 싶지 않으세요?,basic,
37,Comsoon,오늘도 수업 끝나고 바로 집에 가야지… 집에 가서… 게임 해야지!,basic,
38,Comsoon,"오늘도 밤샘 각인가…
하지만 이번 주말에는
꼭 늦잠 잘 거야!",basic,
39,Comsoon,"으아아… 오늘은 반드시!
잠 은행의 대출을 갚아야 해요…",basic,
40,Comsoon,"앗, 새로운 스킨이 또 나왔어요! 사야 하나 말아야 하나…",basic,
41,Comsoon,"그럼, 오늘도 힘내볼까요?",glad,
42,Comsoon,등굣길 발걸음은 왜 이렇게 무거운 걸까…,sad,
43,Comsoon,모르셨어요? 간식 들어가는 배는 따로 있다고요!,basic,
44,Comsoon,"오늘은 발표에,
내일은 과제 마감이고…
으으…",sad,
45,Comsoon,"어쩐지 어깨가 가볍더라니, 전공책을 두고 왔네요…!",sad,
46,Comsoon,"어라, 방금 지나간 게 제가 타야 할 버스였던 것 같은데…!",basic,
47,Comsoon,저 부르셨어요?,basic,
48,Comsoon,"오늘은 오후 공강이라,
시간 완전 남아요!",basic,
49,Comsoon,즐거운~ 점심 시간~,glad,
50,Comsoon,"앗, 립밤 안 들고 나왔다…",sad,
51,Comsoon,"오늘 길 가는데, 누가 저보고 인상이 좋아 보인다고 하는 거 있죠? 진짠가?",basic,
52,Comsoon,"커피 마시고 싶다… 음, 달달한 것도 같이!",basic,
















































































































































































































































































































































































































































































































































































































































































































































































































































































































































































